 	Area	XM	YM	Slice
501	398	226.894	91.284	54
502	881	694.014	230.258	54
503	565	47.886	229.020	54
504	622	519.871	269.685	54
505	494	841.698	269.974	54
506	291	451.345	23.266	55
507	198	599.192	30.318	55
508	379	253.416	82.927	55
509	357	150.301	86.769	55
510	395	227.080	91.510	55
511	844	693.945	229.979	55
512	570	48.018	228.730	55
513	608	520.176	269.650	55
514	500	841.242	269.628	55
515	289	451.022	23.334	56
516	287	596.371	32.239	56
517	359	253.152	83.060	56
518	374	150.505	87.029	56
519	389	227.276	91.451	56
520	867	694.088	229.855	56
521	575	48.239	229.072	56
522	614	519.906	269.730	56
523	483	841.442	269.606	56
524	311	451.027	23.066	57
525	272	596.989	31.967	57
526	360	253.683	82.858	57
527	364	150.385	86.701	57
528	390	227.377	91.764	57
529	879	693.852	230.173	57
530	610	44.743	226.698	57
531	625	519.975	269.689	57
532	487	841.868	269.594	57
533	296	450.720	23.122	58
534	270	596.937	32.063	58
535	374	253.404	83.024	58
536	360	150.494	86.992	58
537	391	227.193	92.022	58
538	881	694.170	230.298	58
539	620	44.453	226.695	58
540	627	520.181	269.696	58
541	459	841.587	269.916	58
542	287	450.726	23.333	59
543	308	593.789	26.331	59
544	355	253.680	82.934	59
545	357	150.408	87.408	59
546	340	227.976	92.082	59
547	859	694.091	230.670	59
548	617	44.571	226.771	59
549	597	520.061	269.520	59
550	494	841.318	269.609	59
551	283	451.076	23.345	60
552	301	593.733	26.633	60
553	372	253.454	82.884	60
554	349	150.082	87.102	60
555	340	227.876	91.997	60
556	873	694.017	230.122	60
557	652	44.308	226.686	60
558	627	519.904	269.830	60
559	494	841.413	270.028	60
560	300	451.143	23.530	61
561	295	593.683	26.225	61
562	379	253.640	83.265	61
563	349	150.738	86.752	61
564	340	228.056	92.403	61
565	883	694.058	230.600	61
566	636	44.259	226.555	61
567	612	520.077	269.721	61
568	477	841.529	269.561	61
569	310	451.342	23.152	62
570	295	593.497	26.619	62
571	376	253.609	83.122	62
572	360	150.308	87.167	62
573	351	228.266	92.226	62
574	859	694.047	230.318	62
575	632	44.657	226.818	62
576	620	520.137	269.703	62
577	515	841.651	270.061	62
578	276	451.105	23.623	63
579	288	593.833	26.521	63
580	370	253.535	83.184	63
581	354	150.305	86.918	63
582	336	228.042	92.057	63
583	835	694.060	230.343	63
584	578	44.597	227.202	63
585	624	520.189	269.761	63
586	491	841.557	269.832	63
587	299	451.253	23.781	64
588	294	593.238	26.405	64
589	371	253.570	83.012	64
590	343	150.369	87.334	64
591	346	227.962	92.376	64
592	862	694.176	230.070	64
593	613	44.598	227.208	64
594	619	520.109	269.676	64
595	484	841.657	270.076	64
596	289	450.888	23.043	65
597	310	593.984	26.497	65
598	767	245.636	81.892	65
599	369	150.115	87.332	65
600	857	694.075	230.293	65
601	594	44.643	227.077	65
602	599	520.188	269.610	65
603	511	841.668	270.210	65
604	275	451.085	23.075	66
605	285	594.118	26.360	66
606	755	245.631	82.036	66
607	353	150.398	86.962	66
608	862	694.042	230.466	66
609	595	44.529	226.898	66
610	612	520.087	269.951	66
611	473	841.667	269.604	66
612	301	451.078	23.457	67
613	297	593.749	26.830	67
614	796	245.258	81.999	67
615	373	150.594	86.827	67
616	851	693.874	230.454	67
617	596	45.356	226.993	67
618	604	519.892	269.705	67
619	503	841.830	269.866	67
620	281	451.368	23.059	68
621	295	594.120	26.876	68
622	781	245.876	81.976	68
623	360	150.353	86.925	68
624	852	693.837	230.602	68
625	561	44.439	227.265	68
626	621	520.141	269.756	68
627	482	841.313	269.627	68
628	293	451.353	23.036	69
629	298	593.359	26.930	69
630	795	245.457	81.857	69
631	363	150.552	87.037	69
632	874	693.992	230.439	69
633	615	44.298	226.799	69
634	636	520.002	269.775	69
635	528	841.572	270.119	69
636	302	450.811	23.341	70
